Full Name,Primary Company,Seed Valuation,A Valuation,B Valuation,Valuation Increase,,Series A Month,Series A Day,Series A Year,,,,CEO at A,CEO at B
Brad Hunstable,Ustream,NaN,"40,200,000.00",NaN,,,,,,,,,1,1
Jonathan Cedar,BioLite,NaN,"8,820,000.00","30,460,000.00",,,,,,,,,1,1
Gregg Spiridellis,JibJab,NaN,"32,670,000.00","42,980,000.00",,,,,,,,,1,1
Serge Saxonov,10X Genomics,"$26,000,000.00 ","56,000,000.00","222,000,000.00",,,,,,,,,1,1
Hani Elias,Procured Health,NaN,"12,650,000.00","33,490,000.00",,,,,,,,,1,1
Sean Suchter,Pepperdata,"$8,180,000.00 ","13,600,000.00","41,440,000.00",,,,,,,,,1,1
Veer Gidwaney,Maxwell Health,"$4,120,000.00 ","26,160,000.00","82,000,000.00",,,,,,,,,1,1
Mio Babic,iStreamPlanet,NaN,"65,450,000.00","185,000,000.00",,,,,,,,,1,1
Brian Biles,Datrium,NaN,"60,780,000.00","197,000,000.00",,,,,,,,,1,1
Bryan Burkhart,H.BLOOM,NaN,"33,850,000.00","68,250,000.00",,,,,,,,,1,1
Abe Smith,Dealflo,NaN,"24,300,000.00","43,400,000.00",,,,,,,,,1,1
Justin Effron,ALICE,NaN,"17,500,000.00","38,750,000.00",,,,,,,,,1,1
Michael Duffy,CITYBASE,NaN,"10,000,000.00","20,000,000.00",,,,,,,,,1,1
Darrius Thompson,SweetLabs,NaN,"10,500,000.00","28,220,000.00",,,,,,,,,1,1
Evan Liang,LeanData,"$6,000,000.00 ","17,000,000.00","46,400,000.00",,,,,,,,,1,1
BC Krishna,MineralTree,"$4,340,000.00 ","19,860,000.00","43,940,000.00",,,,,,,,,1,1
P.J. Gunsagar,Kidaptive,NaN,NaN,"27,250,000.00",,,,,,,,,1,1
Jules Pieri,The Grommet,NaN,"9,400,000.00",NaN,,,,,,,,,1,1
Brenda Schmidt,"Solera Health, Inc.","$9,000,000.00 ","26,500,000.00","74,000,000.00",,,,,,,,,1,1
Russell Tencer,United Wind,NaN,NaN,"13,000,000.00",,,,,,,,,1,1
Grant Gordon,Artemis Health,"$6,000,000.00 ","26,400,000.00","64,000,000.00",,,,,,,,,1,1
Dan Murillo,Little Black Bag,NaN,"10,740,000.00","40,150,000.00",,,,,,,,,1,1
Jason Gardner,Magenta Therapeutics,NaN,"50,000,000.00","250,000,000.00",,,,,,,,,1,1
Russell Fadel,ThingWorx,NaN,"4,800,000.00","19,070,000.00",,,,,,,,,1,1
Gerardo Obregon,Prestadero,"$1,400,000.00 ",NaN,NaN,,,,,,,,,NaN,NaN
Peter Bauer,Mimecast,NaN,"108,500,000.00","330,000,000.00",,,,,,,,,1,1
Brent Grinna,EverTrue,"$6,000,000.00 ","14,000,000.00","30,000,000.00",,,,,,,,,1,1
Pete Foley,Wave Computing,NaN,"14,000,000.00",NaN,,,,,,,,,1,1
Jeff Franco,Tendyne Holdings,NaN,"3,000,000.00","54,000,000.00",,,,,,,,,1,1
Monisha Perkash,Lumo Bodytech,"$1,340,000.00 ","21,310,000.00","40,650,000.00",,,,,,,,,1,1
Elie Seidman,Oyster.com,NaN,"18,200,000.00","36,600,000.00",,,He is CEO of OK Cupid,,,,,,1,1
Tom Costello,Cuil,NaN,"34,000,000.00","221,000,000.00",,,Bankrupt,,,,,,1,1
Zackary King,SHYFT,NaN,"44,300,000.00","100,000,000.00",,,,,,,,,1,1
Malcolm Cowley,Performance Horizon,"$2,600,000.00 ","22,000,000.00",NaN,,,,,,,,,1,1
Ned Moorfield,GoCatch,"$2,000,000.00 ","12,600,000.00","19,740,000.00",,,,,,,,,1,1
Udaynandan Reddy Padi,YUPPTV,"$25,000,000.00 ",NaN,NaN,,,,,,,,,NaN,NaN
Jonathan Brassington,LiquidHub,NaN,NaN,"170,000,000.00",,,,,,,,,1,1
Nicolas Tejerina,Navent,NaN,NaN,"30,000,000.00",,,,,,,,,1,1
Heath Wells,NuORDER,NaN,"10,000,000.00","34,500,000.00",,,,,,,,,1,1
Henry Wong,SS8 Networks,NaN,"25,000,000.00","75,000,000.00",,,,,,,,,1,1
Jeff Ma,tenXer,NaN,"6,300,000.00","15,000,000.00",,,,,,,,,1,1
John Squire,DynamicAction,NaN,"6,000,000.00","80,000,000.00",,,,,,,,,1,1
Mo Chen,TuSimple,NaN,NaN,"666,670,000.00",,,,,,,,,1,1
John Poisson,Wantful,NaN,"24,280,000.00",0,,,,,,,,,1,0
Matt Dalio,ENDLESS,NaN,"71,000,000.00","106,000,000.00",,,,,,,,,1,1
Chris Forman,"Appcast, Inc",NaN,"16,000,000.00","51,000,000.00",,,,,,,,,1,1
Joseph Paresi,IDSS Holdings,"$6,000,000.00 ","53,000,000.00","71,000,000.00",,,,,,,,,1,1
Mukundu Kumaran,C1X Inc.,NaN,"14,500,000.00","61,000,000.00",,,,,,,,,1,1
Marc J. Gorlin,Roadie,NaN,"36,000,000.00",NaN,,,,,,,,,1,1
Omri Iluz,PerimeterX,"$11,000,000.00 ","32,500,000.00","54,000,000.00",,,,,,,,,1,1
Terry Angelos,TrialPay,NaN,"14,000,000.00","58,000,000.00",,,,,,,,,1,1
Victoria Livschitz,"Tonomi, Inc.","$7,800,000.00 ",NaN,NaN,,,,,,,,,1,NaN
Drew Schiller,Validic,"$5,500,000.00 ","22,600,000.00","49,250,000.00",,,,,,,,,1,1
Clayton Alexander,Ember Technologies,NaN,"40,000,000.00","72,000,000.00",,,,,,,,,1,1
Jim Kean,WellnessFX,,"4,300,000.00","12,250,000.00",,,,,,,,,1,1
Megan Gardner,Plum District,NaN,"4,600,000.00","16,000,000.00",,,,,,,,,1,1
Cheng Liu,Eureka Therapeutics,NaN,"6,260,000.00","12,510,000.00",,,,,,,,,1,1
Haresh Patel,Mercatus,NaN,"12,000,000.00","36,800,000.00",,,,,,,,,1,1
Sachin Katti,Kumu Networks,NaN,"25,350,000.00","59,720,000.00",,,,,,,,,1,1
Jason Ricci,Fluxx,NaN,"33,200,000.00","68,000,000.00",,,,,,,,,1,1
Manik Singh,Threadflip,"$7,000,000.00 ","25,000,000.00","51,000,000.00",,,,,,,,,1,1
Rob Salvatore,Tongal,"$2,220,000.00 ","2,470,000.00","48,150,000.00",,,,,,,,,1,1
Vikas Jha,Teracent,NaN,"14,700,000.00",NaN,,,,,,,,,1,0
Jeff Daniel,StarMaker Interactive,NaN,"14,320,000.00","28,000,000.00",,,,,,,,,1,1
Pieter van Rooyen,Edico Genome,"$17,000,000.00 ","31,000,000.00","88,000,000.00",,,,,,,,,1,1
Ujjal Kohli,Rhythm NewMedia,NaN,"19,000,000.00","54,000,000.00",,,,,,,,,1,1
Karl Wirth,Evergage,"$6,580,000.00 ","90,000,000.00","33,000,000.00",,,,,,,,,1,1
David P. Mariani,AtScale,"$6,830,000.00 ","22,000,000.00","58,000,000.00",,,,,,,,,1,1
Andras Forgacs,Modern Meadow,NaN,"50,000,000.00","148,000,000.00",,,,,,,,,1,1
Robert Carlson,UNIFi Software,"$17,450,000.00 ","40,000,000.00","81,500,000.00",,,,,,,,,1,1
Michael Smalls,Hoopla Software,NaN,"6,000,000.00","24,000,000.00",,,,,,,,,1,1
Richard White,UserVoice,NaN,"3,000,000.00","15,000,000.00",,,,,,,,,1,1
Harmeet S. Bindra,Leixir,NaN,"8,000,000.00",NaN,,,,,,,,,1,NaN
Kelly Dachtler,The Clymb,NaN,"5,800,000.00",NaN,,,,,,,,,1,1
Taku Harada,Peatix,NaN,"14,000,000.00","30,000,000.00",,,,,,,,,1,1
Simon Lenoir,Rezdy,NaN,"2,000,000.00",NaN,,,,,,,,,1,NaN
David Mandell,PivotDesk,NaN,"11,000,000.00","17,000,000.00",,,,,,,,,1,1
Craig Malloy,Lifesize,NaN,"24,000,000.00","68,000,000.00",,,,,,,,,1,1
Ben Wolstenholme,Madefire,"$4,600,000.00 ","15,000,000.00","26,500,000.00",,,,,,,,,1,1
Cliff Moon,Opsee,NaN,0,0,,,,,,,,,1,1
Hesaam Esfandyarpour,Genapsys,NaN,"34,000,000.00","267,000,000.00",,,,,,,,,1,1
Marc Ruxin,TastemakerX,"$18,000,000.00 ",NaN,NaN,,,,,,,,,NaN,NaN
Radu B. Rusu,Fyusion,NaN,"20,000,000.00","120,000,000.00",,,,,,,,,1,1
Ronni Zehavi,Hibob,"$18,340,000.00 ",NaN,NaN,,,,,,,,,1,NaN
Abir Sen,Gravie,"$9,000,000.00 ","28,000,000.00","47,000,000.00",,,,,,,,,1,1
Alex Bell,Signal360 (formerly Sonic Notify),NaN,"15,750,000.00",NaN,,,,,,,,,1,1
Stephen Bollinger,Rinovum Women's Health,NaN,"10,000,000.00","23,000,000.00",,,,,,,,,1,1
Shaffi Mather,Ziqitza Health Care,"$4,790,000.00 ",NaN,NaN,,,,,,,,,NaN,NaN
Robert Holler,VersionOne,NaN,"14,500,000.00","80,000,000.00",,,,,,,,,1,1
Kevin J. Duffy,Fastback Networks,NaN,"21,000,000.00","37,600,000.00",,,,,,,,,1,1
Bill Gerhart,Elevation Pharmaceuticals,NaN,"40,000,000.00","80,000,000.00",,,,,,,,,1,1
Mohit Midha,Mangahigh,NaN,"9,430,000.00","14,670,000.00",,,,,,,,,1,1
Dave Gilbert,Evermind,NaN,"10,000,000.00",NaN,,,,,,,,,1,NaN
Tuan Ha-Ngoc,deNovis,NaN,"76,000,000.00","130,000,000.00",,,Went bankrupt,,,,,,1,1
Shane Dyer,Arrayent,NaN,NaN,"45,000,000.00",,,,,,,,,1,1
Jeffrey Wagner,Aquilon Energy Services,NaN,NaN,"50,000,000.00",,,,,,,,,1,1
Tuvia Barlev,Actelis Networks,NaN,"15,300,000.00","77,500,000.00",,,,,,,,,1,1
Trevor Stout,yap.TV,NaN,"5,170,000.00",NaN,,,,,,,,,1,1
Chris Caldwell,"LockPath, Inc.",NaN,"8,300,000.00","25,300,000.00",,,,,,,,,1,1
Pauline Alker,A la Mobile,"$7,000,000.00 ","20,000,000.00",NaN,,,,,,,,,NaN,NaN
Emek Kırbıyık,Dugun.com,"$12,000,000.00 ",NaN,NaN,,,,,,,,,1,1
Manish Taneja,Purplle,NaN,"25,000,000.00",NaN,,,,,,,,,1,NaN
Jason Wesbecher,myDocket,NaN,"10,240,000.00",0,,,,,,,,,1,0
PJ Gurumohan,GENWI,NaN,"3,000,000.00","17,000,000.00",,,,,,,,,1,1
Poojan Kumar,PernixData,NaN,"31,000,000.00","114,000,000.00",,,,,,,,,1,1
Joan Llavina,Cebiotex,"$3,000,000.00 ",NaN,NaN,,,,,,,,,NaN,NaN
Marco Samek,Muume AG,NaN,NaN,"41,000,000.00",,,,,,,,,1,1
Brandon Wright,Cognical,NaN,"9,000,000.00","45,000,000.00",,,,,,,,,1,1
Ben De Kalo,Worthy,NaN,"5,000,000.00","26,000,000.00",,,,,,,,,1,1
Jussi Laakkonen,Applifier,NaN,NaN,"1,250,000,000.00",,,,,,,,,1,0
Matthew B. Shoemake,Biscotti,"$7,500,000.00 ","14,000,000.00",NaN,,,,,,,,,1,NaN
Susie Kim Riley,Aquto,NaN,"17,000,000.00","57,000,000.00",,,,,,,,,1,1
Dan O'Malley,PerkStreet Financial,NaN,"12,000,000.00","27,000,000.00",,,Bankrupt,,,,,,1,1
Rob Principe,Scratch Music Group,NaN,"9,000,000.00","25,000,000.00",,,,,,,,,1,1
Greg Bullington,Magnolia Medical Technologies,"$22,000,000.00 ",NaN,NaN,,,,,,,,,NaN,NaN
Manmeet Singh Bhasin,Dataguise,NaN,"4,000,000.00","60,000,000.00",,,,,,,,,1,1
Mandeep Arora,Cantaloupe Systems,NaN,NaN,"14,500,000.00",,,,,,,,,1,1
Ed Rebholz,WhipTail,NaN,"6,000,000.00","27,000,000.00",,,,,,,,,1,1
Jon Jackson,Mobile Posse,"$7,000,000.00 ",NaN,"24,000,000.00",,,,,,,,,1,1
Burck Smith,StraighterLine,NaN,"10,000,000.00","40,000,000.00",,,,,,,,,1,1
Joe Giordano,Payzer,NaN,"12,000,000.00","25,000,000.00",,,,,,,,,1,1
Bobby Jadhav,Spotzot,NaN,"6,200,000.00",NaN,,,,,,,,,NaN,NaN
Dr. Nicholas Psaila,Optoscribe,NaN,"3,000,000.00","6,000,000.00",,,,,,,,,1,1
AC Chakrabarti,AnyPresence,NaN,"9,000,000.00","19,000,000.00",,,,,,,,,1,1
Michael Hite,Impel NeuroPharma,NaN,"4,000,000.00","26,000,000.00",,,,,,,,,1,1
Yori Gabay,InstallFree,NaN,"31,000,000.00","12,000,000.00",,,,,,,,,1,1
Andrew Daines,PrePlay,"$15,000,000.00 ",NaN,"20,000,000.00",,,,,,,,,1,1
Michael Hennessy,SmashFly,NaN,"27,000,000.00","77,000,000.00",,,,,,,,,1,1
Greg Goldfarb,Flint,"$460,000.00 ","8,000,000.00","26,000,000.00",,,* Went out of business,,,,,,1,1
Lakshmanan (Lux) Narayan,Unmetric,NaN,"8,000,000.00","23,500,000.00",,,,,,,,,1,1
David Utley,Carrot,NaN,"73,800,000.00",NaN,,,,,,,,,1,NaN
Sungwuk Kim,ImmunoMet Therapeutics,"$2,500,000.00 ","15,000,000.00","30,000,000.00",,,,,,,,,1,1
Bostjan Bregar,4th Office,"$5,000,000.00 ","13,000,000.00","18,000,000.00",,,,,,,,,1,1
Prem Uppaluru,Transera Communications,NaN,"28,000,000.00","49,000,000.00",,,,,,,,,1,1
Eran Arbel,Breakaway Labs,"$6,590,000.00 ",NaN,NaN,,,,,,,,,NaN,NaN
Art Norins,Nor1,NaN,"7,000,000.00","19,000,000.00",,,,,,,,,1,1
Nick East,Zynstra,"$4,000,000.00 ","8,000,000.00","17,000,000.00",,,,,,,,,1,1
Paul Ironside,CommercialTribe,NaN,"10,000,000.00","20,000,000.00",,,,,,,,,1,1
Priya Haji,SaveUp,"$7,500,000.00 ","15,700,000.00",NaN,,,,,,,,,1,NaN
Mike Perrone,SocialSign.in,"$7,000,000.00 ",NaN,NaN,,,,,,,,,NaN,NaN
Peter Badger,Framehawk,NaN,"18,000,000.00","46,000,000.00",,,,,,,,,1,1
Alan Hahn,MycoTechnology,NaN,"26,000,000.00",NaN,,,,,,,,,1,1
EuGene Wade,UniversityNow,NaN,"19,000,000.00","44,000,000.00",,,,,,,,,1,1
Adam Pikett,SportPursuit,NaN,"7,000,000.00","25,000,000.00",,,,,,,,,1,1
Andres Fabris,Traxo,NaN,"11,000,000.00","24,000,000.00",,,,,,,,,1,1
Rajesh Nahar,Cbazaar.com,NaN,NaN,"24,000,000.00",,,,,,,,,1,1
Prat Moghe,Cazena,NaN,"21,000,000.00","88,000,000.00",,,,,,,,,1,1
Brian Spector,CertiVox,NaN,"7,000,000.00","27,000,000.00",,,,,,,,,1,1
Nish Kukadia,SecretSales,NaN,"9,000,000.00","7,000,000.00",,,,,,,,,1,1
Jesse Rothstein,ExtraHop Networks,NaN,"12,000,000.00","90,000,000.00",,,,,,,,,1,1
Craig H. Misrach,Freedom Meditech,NaN,"11,000,000.00","38,000,000.00",,,,,,,,,1,1
Diego May,Junar,"$3,000,000.00 ","2,660,000.00",NaN,,,,,,,,,1,1
David Smith,High Brew Coffee,"$16,000,000.00 ","40,000,000.00","72,000,000.00",,,,,,,,,1,1
Michael Neal,DecisionNext,"$10,000,000.00 ",NaN,NaN,,,,,,,,,NaN,NaN
Ray Bell,Grid Net,NaN,"23,000,000.00",NaN,,,,,,,,,1,1
David Leeds,Tango Card,NaN,"6,000,000.00","30,000,000.00",,,,,,,,,1,1
Bill Dallas,Cloudvirga,NaN,"37,500,000.00","60,000,000.00",,,,,,,,,1,1
Will Shulman,mLab,NaN,"7,500,000.00","24,500,000.00",,,,,,,,,1,1
Foster Hinshaw,Dataupia,NaN,"22,000,000.00","62,000,000.00",,,,,,,,,1,1
Tony Conrad,about.me,NaN,"3,430,000.00",NaN,,,,,,,,,1,1
Steve Rosenbaum,Waywire Networks,NaN,"5,100,000.00","9,600,000.00",,,,,,,,,1,1
Jevgeni Kabanov,ZeroTurnaround,NaN,NaN,"59,360,000.00",,,,,,,,,1,1
Kenneth Munson,"Sunverge Energy, Inc",NaN,"14,000,000.00","34,000,000.00",,,,,,,,,1,1
Jeff Rubenstein,SmartProcure,NaN,"17,000,000.00","65,000,000.00",,,,,,,,,1,1
Mike Kennewick,VoiceBox Technologies,NaN,"39,000,000.00","42,000,000.00",,,,,,,,,1,1
Craig Harris,HG Data Company,NaN,"15,000,000.00","54,000,000.00",,,,,,,,,1,1
Ken Song,"Ariosa Diagnostics, Inc.",NaN,"4,650,000.00","23,210,000.00",,,,,,,,,1,1
C.R. Chandrasekar,FundsIndia,NaN,"2,600,000.00",NaN,,,,,,,,,1,1
Patrick Anquetil,Portal Instruments,NaN,"22,000,000.00","70,000,000.00",,,,,,,,,1,1
Krishna Prabhakar,Avenda Systems,,,,,,,,,,,,,
Nicholas Benedict,Allecra Therapeutics, ,,,,,,,,,,,,
Jeffrey Mullen,Dynamics,,,,,,,,,,,,,
Mick Hewitt,MasteryConnect,,,,,,,,,,,,,
Tim Stojka,Agentis Energy,,,,,,,,,,,,,
Carine Schorochoff,4Tech,,,,,,,,,,,,,
Koichiro Yoshida,CrowdWorks,,,,,,,,,,,,,
Peter Goggin,Resson,,,,,,,,,,,,,
Sam Ellis,DriverUp,,,,,,,,,,,,,
J. David Smith,LiquiGlide,,,,,,,,,,,,,
Iván Tintoré,iContainers,,,,,,,,,,,,,
Eddy Zhang,iCarsClub,,,,,,,,,,,,,
Colin Kwan,MEMSDrive,,,,,,,,,,,,,
Jeff White,Gravy Analytics,,,,,,,,,,,,,
Yi Shi,Avazu Inc,,,,,,,,,,,,,
Fauad Hasan,Bonti,,,,,,,,,,,,,
Pier LaFarge,Sparkfund,,,,,,,,,,,,,
Joe Epperson,MaxPoint Interactive,,,,,,,,,,,,,
Minh Dang,Foody,,,,,,,,,,,,,
Doug Stevenson,Vibrant Media,,,,,,,,,,,,,
Micke Paqvalén,Kiosked,,,,,,,,,,,,,
Carl Holmquist,Freespee,,,,,,,,,,,,,
Gideon Stein,LightSail Education,,,,,,,,,,,,,
Craig Elliott,Pertino,,,,,,,,,,,,,
Joachim Roos,Edgeware,,,,,,,,,,,,,
Joaquin Ayuso,Kuapay,,,,,,,,,,,,,
Jeffrey T. Binder,Layer3 TV,,,,,,,,,,,,,
Tomoyuki Sugiyama,"Crowdcredit, Inc.",,,,,,,,,,,,,
Howard Rosenberg,B-Stock Solutions,,,,,,,,,,,,,
Scott Nelson,Trax Technologies,,,,,,,,,,,,,
Lou Gray,DreamBox Learning,,,,,,,,,,,,,
Jaswinder Chadha,Axtria,,,,,,,,,,,,,
Bulent Celebi,AirTies Wireless Networks,,,,,,,,,,,,,
Nick Moutter,Admedo Ltd,,,,,,,,,,,,,
Faris Zaher,Yamsafer,,,,,,,,,,,,,
Alan Viterbi,Liquid Environmental Solutions,,,,,,,,,,,,,
"Bhairavi Parikh, PhD",CellScape,,,,,,,,,,,,,
Geoff Mathieux,Wingz Inc.,,,,,,,,,,,,,
Susan Kennedy,Advanced Microgrid Solutions,,,,,,,,,,,,,
Adriaan van Wyk,K2,,,,,,,,,,,,,
Dominic Blank,POSpulse,,,,,,,,,,,,,
Yaniv Bensadon,Fixya,,,,,,,,,,,,,
Priya Krishnan,klay schools,,,,,,,,,,,,,
Ronald Bianchini,Avere Systems,,,,,,,,,,,,,
Ilya Ekushevskiy,Busfor,,,,,,,,,,,,,
Frank Martin,Restorando,,,,,,,,,,,,,
Ke Wang,Koudai,,,,,,,,,,,,,
Zivan Ori,E8 Storage,,,,,,,,,,,,,
Seymour Duncker,iCharts,,,,,,,,,,,,,
Rohith Bhat,99Games Online Private Limited,,,,,,,,,,,,,
Todd Parsons,Aditive,,,,,,,,,,,,,
Francois-Xavier Hussherr,Gutenberg Technology,,,,,,,,,,,,,
Joseph Mayer,Cureatr,,,,,,,,,,,,,
Alexander Koenig,ReActive Robotics,,,,,,,,,,,,,
Juan Carlos Riveiro,Vilynx,,,,,,,,,,,,,
Hari Nair,HolidayIQ,,,,,,,,,,,,,
Anthony Bettini,FlawCheck,,,,,,,,,,,,,
Yao Hong,Weidai,,,,,,,,,,,,,
Arun Agarwal,Infinio,,,,,,,,,,,,,
Faraz Hoodbhoy,PixSense,,,,,,,,,,,,,
Ramana Jonnala,Coho Data,,,,,,,,,,,,,
Art Krieg,Checkmate Pharmaceuticals,,,,,,,,,,,,,
Toshi Yamamoto,ChatWork,,,,,,,,,,,,,
Roman Rittweger,ottonova Holding AG,,,,,,,,,,,,,
Neil Burns,P2 Science,,,,,,,,,,,,,
Alex Willcock,VisualDNA,,,,,,,,,,,,,
Marc Heyneker,Revinate,,,,,,,,,,,,,
Stephanie Leffler,OneSpace,,,,,,,,,,,,,
Arie Struik,alaTest,,,,,,,,,,,,,
Ofer Shoshan,One Hour Translation,,,,,,,,,,,,,
Wes Schroll,Fetch Rewards,,,,,,,,,,,,,
Mik Kersten,Tasktop,,,,,,,,,,,,,
Jason Bryant,Nor1,,,,,,,,,,,,,
Chenfeng Song,A.I. Nemo,,,,,,,,,,,,,
Marco Fisbhen,Descomplica,,,,,,,,,,,,,
Jeremy Geiger,Retailigence,,,,,,,,,,,,,
John A. Amster,RPX Corporation,,,,,,,,,,,,,
Bo Yang,Douban,,,,,,,,,,,,,
Ehud Rokach,XtremIO,,,,,,,,,,,,,
Viktor Ariel,SURE Universal,,,,,,,,,,,,,
Baha Zeidan,Azalea Health,,,,,,,,,,,,,
Stephen Lau,BioClin Therapeutics,,,,,,,,,,,,,
Do Tuan Anh,Appota,,,,,,,,,,,,,
Ching Wei Lee,iMoney Group,,,,,,,,,,,,,
Rufus Griscom,Heleo,,,,,,,,,,,,,
Yod Chinsupakul,Wongnai,,,,,,,,,,,,,
Fede Malek,Avenida.com,,,,,,,,,,,,,
Aaron Biddar,Synthio,,,,,,,,,,,,,
Ami Dotan,Karamba Security,,,,,,,,,,,,,
Eric Didier,OneKloud,,,,,,,,,,,,,
Adam Seifer,Everplans,,,,,,,,,,,,,
Santiago Sosa,Tienda Nube,,,,,,,,,,,,,
Hao Xu,Camera360,,,,,,,,,,,,,
Ken Davis,"TaskEasy, Inc.",,,,,,,,,,,,,
Chris Torrance,PhoreMost,,,,,,,,,,,,,
Ken Rugg,Tesora,,,,,,,,,,,,,
Deepak Aatresh,Aditazz,,,,,,,,,,,,,
Robert Ellice,EasyProperty,,,,,,,,,,,,,
Yegor Anchishkin,CartFresh,,,,,,,,,,,,,
JD Lee,Pocketmath,,,,,,,,,,,,,
Martin Ferro,Conferize,,,,,,,,,,,,,
Sanj Goyle,Finxera,,,,,,,,,,,,,
Tom Valdivia,Luminat,,,,,,,,,,,,,
Ben Ye,The ONE Music Group,,,,,,,,,,,,,
Danny Sachs,Amphora Medical,,,,,,,,,,,,,
Sean Lynch,Metacloud,,,,,,,,,,,,,
Matthew Patterson,Audentes Therapeutics,,,,,,,,,,,,,
Wayne Poll,Minimally invasive devices,,,,,,,,,,,,,
Simon Lynch,Just Landed,,,,,,,,,,,,,
Olivier Gerhardt,Wavecell,,,,,,,,,,,,,
Omri Kohl,Pyramid Analytics,,,,,,,,,,,,,
Dirk Owerfeldt,GASTROFIX,,,,,,,,,,,,,
Lianglun Zhang,Mizhe.com,,,,,,,,,,,,,
Mike Alfred,BrightScope,,,,,,,,,,,,,
Jonathan Glick,Sulia,,,,,,,,,,,,,
Rami Goraly,ScheduleOnce,,,,,,,,,,,,,
Eugene Izhikevich,Brain Corporation,,,,,,,,,,,,,
Luke Ahn,Fronto,,,,,,,,,,,,,
Wang Shirui,Medlinker,,,,,,,,,,,,,
ABHISHEK AGARWAL,CreditVidya,,,,,,,,,,,,,
Mike Lynn,Hound Labs,,,,,,,,,,,,,
William Cooper,ACHICA,,,,,,,,,,,,,
John Golob,Lanetix,,,,,,,,,,,,,
J. Andrew Rogers,SpaceCurve,,,,,,,,,,,,,
John Goscha,"Lucidity Lights, Inc.",,,,,,,,,,,,,
Forest Key,"Pixvana, Inc.",,,,,,,,,,,,,
Meir Zohar,Freshub Ltd.,,,,,,,,,,,,,
Wasiq Bokhari,QBotix,,,,,,,,,,,,,
Geraldine McBride,MyWave,,,,,,,,,,,,,
Derek Ball,atVenu,,,,,,,,,,,,,
Adam Vincent,"ThreatConnect, Inc.",,,,,,,,,,,,,
Aman Jabbi,Pelican Imaging,,,,,,,,,,,,,
Jonathan Dambrot,Prevalent Networks,,,,,,,,,,,,,
Kristian Humborstad,Zwipe,,,,,,,,,,,,,
John Thomson,PayIt,,,,,,,,,,,,,
Bryce Smith,LevelTen Energy,,,,,,,,,,,,,
Bhavik Jhaveri,Ambab Infotech,,,,,,,,,,,,,
Carl Dietrich,Terrafugia,,,,,,,,,,,,,
Yair Lavi,Tonara,,,,,,,,,,,,,
Sudheer Koneru,Zenoti,,,,,,,,,,,,,
Anand Sivaraman,Remidio Innovative Solutions,,,,,,,,,,,,,
Sheila Mikhail,Bamboo Therapeutics,,,,,,,,,,,,,
Tao Peng,Breadtrip,,,,,,,,,,,,,
Martin Källström,Narrative,,,,,,,,,,,,,
Javier Andres,ticketea,,,,,,,,,,,,,
Amir Ben-Afraim,Altor Networks,,,,,,,,,,,,,
Dan Albritton,Megaphone TV,,,,,,,,,,,,,
Guillermo Freire,TROCAFONE,,,,,,,,,,,,,
Kemal Erol,Vivense Home & Living,,,,,,,,,,,,,
Gil Sadeh,Signals Analytics,,,,,,,,,,,,,
Thomaz Srougi,dr. consulta,,,,,,,,,,,,,
Jae Chung,goBalto,,,,,,,,,,,,,
William Moschella,Evariant,,,,,,,,,,,,,
Josh Shatkin-Margolis,Purple Cloud,,,,,,,,,,,,,
Jing Liu,Skyroam,,,,,,,,,,,,,
Jeff Abramowitz,PowerCloud Systems,,,,,,,,,,,,,
Simon Specka,ZenMate,,,,,,,,,,,,,
John M. Paul,VenueNext,,,,,,,,,,,,,
Dippak Khurana,Vserv,,,,,,,,,,,,,
Tian Ning,Panshi,,,,,,,,,,,,,
Noman Ali,Peanut Labs,,,,,,,,,,,,,
Yoram Novick,Maxta,,,,,,,,,,,,,
Alex Zapesochny,iCardiac Technologies,,,,,,,,,,,,,
Dov Seidman,LRN,,,,,,,,,,,,,
Alan Gertner,Tokyo Smoke,,,,,,,,,,,,,
Jeremy Anspach,PureCars,,,,,,,,,,,,,
Ryan Fyfe,Humanity,,,,,,,,,,,,,
Eric Winquist,Jama Software,,,,,,,,,,,,,
David Lim,Beijing Weiying Technology,,,,,,,,,,,,,
Vaibhav Dabhade,Anchanto,,,,,,,,,,,,,
Chris Harbourt,Agrible,,,,,,,,,,,,,
Bruce Cohen,VitaPath Genetics,,,,,,,,,,,,,
Eric La Bonnardière,Evaneos,,,,,,,,,,,,,
Xavi Beumala,Marfeel,,,,,,,,,,,,,
Tal Zvi Nathanel,MyCheck,,,,,,,,,,,,,
Samuel Sheng,Sentons,,,,,,,,,,,,,
Sagi Schliesser,TabTale,,,,,,,,,,,,,
Elery Pfeffer,Nift Networks,,,,,,,,,,,,,
Ron Glibbery,Peraso Technologies,,,,,,,,,,,,,
Steve Flagg,SupplyFrame,,,,,,,,,,,,,
Jon Elvekrog,140 Proof,,,,,,,,,,,,,
James LaLonde,yoli,,,,,,,,,,,,,
Martin Watson,SeeChange Health,,,,,,,,,,,,,
Cyril Hadji-Thomas,Bookwitty,,,,,,,,,,,,,
Julian Willenbrock,Enlight México,,,,,,,,,,,,,
Jervis Liu,Hyphenate Inc.,,,,,,,,,,,,,
Heather Hiles,Pathbrite,,,,,,,,,,,,,
Michael Bruce,PurpleBricks,,,,,,,,,,,,,
Kent Fuka,Querium Corporation,,,,,,,,,,,,,
Ben Nelson,The Minerva Project,,,,,,,,,,,,,
